SIP Code,Project,Contract No,Contractor,Line of Business,Contract Period Start,Contract Period End, Total Budget ,Service Site,Service Site Description 
D5D,Adult Day Care/Day Health,DA16-5024,Sound Generations,ADS Area Agency on Aging,01/01/2016,02/29/2016,$571.12,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
D2A,Health Promotion and Wellness,DA16-5151,Sound Generations,ADS Area Agency on Aging,01/01/2016,08/31/2018,$254533.00,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
D3A,Transportation,DA16-5192,Sound Generations,ADS Area Agency on Aging,01/01/2016,12/31/2016,$286971.00,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
A2B,Transitional Housing,DA15-5535,Plymouth Housing Group,CSD Emergency and Transitional Svcs,07/01/2015,06/30/2016,$480333.00,"2209 1st Ave, Seattle, WA 98121",Service Site
A2B,Transitional Housing,DA16-5535,Plymouth Housing Group,CSD Emergency and Transitional Svcs,07/01/2016,06/30/2017,$476791.00,"2209 1st Ave, Seattle, WA 98121",Service Site
C2A,DV & SA Response System Improvement,DA16-1500,Domestic Abuse Womens Network - DAWN,MODVSAP,01/01/2016,12/31/2016,$2500.00,"221 W Gowe St, Kent, WA 98032",Primary site
NA3A,Meal Programs,DA16-2480,"Community House Mental Health Agency, Inc.",CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$46849.00,"2212 S Jackson St, Seattle, WA 98144",Various sites (primary site provided)
A2G,Homeless Youth Services,DA15-5639,Community Psychiatric Clinic,YDAD Youth Development,06/01/2015,05/31/2016,$164149.00,"2329 4th Ave, Seattle, WA 98121",Confidential Site (primary site provided if available)
A2G,Homeless Youth Services,DA16-5639,Community Psychiatric Clinic,CSD Emergency and Transitional Svcs,06/01/2016,05/31/2017,$164149.00,"2329 4th Ave, Seattle, WA 98121",Confidential Site (primary site provided if available)
A2A,Emergency Shelters,DA16-1614,Low Income Housing Institute,CSD Emergency and Transitional Svcs,02/19/2016,08/31/2016,$183911.00,"2407 1st Ave, Seattle, WA 98121",Service Site
A2A,Emergency Shelters,DA15-1591,Low Income Housing Institute,CSD Emergency and Transitional Svcs,10/01/2015,12/31/2016,$351600.00,"2407 1st Ave, Seattle, WA 98121",Service Site
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1535,Open Doors for Multicultural Families,ADS Area Agency on Aging,07/01/2015,06/30/2016,$72061.52,"24437 Russell Rd, Suite 220, Kent, WA 98032",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA15-1535,Open Doors for Multicultural Families,ADS Area Agency on Aging,07/01/2015,06/30/2016,$100938.48,"24437 Russell Rd, Suite 220, Kent, WA 98032",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1535,Open Doors for Multicultural Families,ADS Area Agency on Aging,07/01/2016,06/30/2017,$75200.00,"24437 Russell Rd, Suite 220, Kent, WA 98032",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA16-1535,Open Doors for Multicultural Families,ADS Area Agency on Aging,07/01/2016,06/30/2017,$98000.00,"24437 Russell Rd, Suite 220, Kent, WA 98032",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-1163,Seattle School District #1,YDAD Youth Development,10/01/2016,07/31/2017,$70400.00,"2445 3rd Ave S, Seattle, WA 98134",Various sites (primary site provided)
B2F,After-School and Summer Programs for Elementary School Students,DA16-1249,Seattle School District #1,YDAD Youth Development,09/01/2016,06/30/2017,$48233.00,"2445 3rd Ave S, Seattle, WA 98134",Various sites (primary site provided)
Z1A,General Administration,DA16-1338,Seattle School District #1,YDAD Youth Development,03/01/2016,09/30/2017,$23622.00,"2445 3rd Ave S, Seattle, WA 98134",Primary site
B2F,After-School and Summer Programs for Elementary School Students,DA15-1249,Seattle School District #1,YDAD Youth Development,09/01/2015,06/30/2016,$48233.00,"2445 3rd Ave S, Seattle, WA 98134",Various sites (primary site provided)
A3C,Children & Youth Summer Meal Program,DA16-1049,Seattle School District #1,ELFS Child Development,06/07/2016,10/01/2016,$625041.00,"2445 3rd Ave S, Seattle, WA 98134",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-1065,YouthCare,HSI-Contracts,10/01/2016,09/30/2017,$189460.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
NC3G,Commercial Sexual Exploitation Victim Services,DA16-1082,YouthCare,MODVSAP,01/01/2016,12/31/2016,$151200.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-1088,YouthCare,HSI-Contracts,01/01/2016,06/30/2016,$114161.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-1497,YouthCare,YDAD Youth Development,01/01/2016,12/31/2016,$111281.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-1598,YouthCare,YDAD Youth Development,04/01/2016,12/31/2016,$356306.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1611,YouthCare,HSI-Contracts,08/01/2016,07/31/2017,$93792.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-2458,YouthCare,YDAD Youth Development,01/01/2016,12/31/2016,$76898.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
A2G,Homeless Youth Services,DA15-1065,YouthCare,YDAD Youth Development,10/01/2015,09/30/2016,$189149.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
A2G,Homeless Youth Services,DA15-1417,YouthCare,YDAD Youth Development,10/01/2015,09/30/2016,$265928.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
A2G,Homeless Youth Services,DA15-5831,YouthCare,YDAD Youth Development,05/01/2015,04/30/2016,$224467.00,"2500 Northeast 54th St, Seattle, WA  98105",Confidential Site (primary site provided if available)
A2G,Homeless Youth Services,DA16-1417,YouthCare,HSI-Contracts,10/01/2016,09/30/2017,$266266.00,"2500 Northeast 54th St, Seattle, WA  98105",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-5831,YouthCare,HSI-Contracts,05/01/2016,04/30/2017,$232173.00,"2500 Northeast 54th St, Seattle, WA  98105",Confidential Site (primary site provided if available)
A2G,Homeless Youth Services,DA16-7042,YouthCare,YDAD Youth Development,01/01/2016,12/31/2016,$28960.00,"2500 Northeast 54th St, Seattle, WA  98105",Confidential Site (primary site provided if available)
A2E,Day Centers,DA16-1620,United Way of King County,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$91000.00,"2515 Western Ave, Seattle, WA 98121",Service Site
B1D,Birth Doula Services,DA16-1128,Open Arms Perinatal Services,ELFS Family Development,01/01/2016,12/31/2016,$75600.00,"2524 16th Ave S # 207A, Seattle, WA 98144",Service Site
C1A,Youth Outreach and Case Management,DA16-1137,El Centro de la Raza,YDAD Youth Development,01/01/2016,12/31/2016,$137056.00,"2524 16th Ave S, Seattle, WA 98144",Various sites (primary site provided)
B2F,After-School and Summer Programs for Elementary School Students,DA16-1246,El Centro de la Raza,ELFS Child Development,01/01/2016,12/31/2016,$34130.00,"2524 16th Ave S, Seattle, WA 98144",Service Site
B1B,Immigrant and Refugee Youth and Family Support,DA16-1306,El Centro de la Raza,YDAD Youth Development,09/01/2016,08/31/2017,$100053.00,"2524 16th Ave S, Seattle, WA 98144",Various sites (primary site provided)
B3A,Youth Development and Educational Support,DA16-1308,El Centro de la Raza,YDAD Youth Development,01/01/2016,12/31/2016,$70179.00,"2524 16th Ave S, Seattle, WA 98144",Service Site
A3B,Senior Congregate Meal Programs,DA16-1537,El Centro de la Raza,ADS Area Agency on Aging,01/01/2016,12/31/2016,$53662.83,"2524 16th Ave S, Seattle, WA 98144",Service Site
E1A,Access to Financial Services,DA16-1542,El Centro de la Raza,Resource Development,01/01/2016,12/31/2016,$75000.00,"2524 16th Ave S, Seattle, WA 98144",Service Site
B1B,Immigrant and Refugee Youth and Family Support,DA15-1306,El Centro de la Raza,YDAD Youth Development,09/01/2015,08/31/2016,$100053.00,"2524 16th Ave S, Seattle, WA 98144",Various sites (primary site provided)
E3A,Community Facilities,DA15-1615,El Centro de la Raza,CSD Community Facilities,04/09/2015,12/31/2016,$1750000.00,"2524 16th Ave S, Seattle, WA 98144",Service Site
A1A,Housing Stability Services,DA16-1357,El Centro de la Raza,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$241489.00,"2524 16th Ave S, Seattle, WA 98144",Various sites (primary site provided)
NA3A,Meal Programs,DA16-1471,El Centro de la Raza,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$33095.00,"2524 16th Ave S, Seattle, WA 98144",Service Site
NA3E,Food Banks,DA16-1471,El Centro de la Raza,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$84007.00,"2524 16th Ave S, Seattle, WA 98144",Service Site
C3E,Batterers Treatment,DA16-3922,NAVOS,MODVSAP,01/01/2016,06/30/2016,$22256.00,"2600 SW Holden St, Seattle, WA 98126",Service Site
B3C,Youth Mental Health Counseling,DA16-1489,Neighborcare Health,YDAD Youth Development,01/01/2016,12/31/2016,$148682.00,"2600 SW Thistle St, Seattle, WA 98126",Service Site
B3B,Youth Employment and Training,DA16-1725,Seattle School District #1,YDAD Youth Development,06/01/2016,08/31/2016,$25114.00,"2600 SW Thistle St, Seattle, WA 98126",Service Site
C1D,Youth Domestic & Sexual Violence Prevention,DA16-1033,Powerful Voices,MODVSAP,01/01/2016,12/31/2016,$62383.00,"2601 SW Kenyon St, Seattle, WA 98106",Service Site
B1A,Family Resource Center,DA16-3822,Children's Home Society of Washington,YDAD Youth Development,01/01/2016,12/31/2016,$273986.00,"2611 NE 125th St, Suite 145, Seattle, WA 98125",Service Site
B1C,Teen Parent Support,DA16-1073,Children's Home Society of Washington,ELFS Family Development,01/01/2016,12/31/2016,$20699.00,"2611 NE 125th St, Suite 145, Seattle, WA 98125",Service Site
D2A,Health Promotion and Wellness,DA16-1076,Pacific Asian Empowerment Program,ADS Area Agency on Aging,01/01/2016,12/31/2016,$12520.00,"270 S Hanford St # 204, Seattle, WA 98134",Various sites (primary site provided)
C1L,SYVPI Risk Assessment Tool Validation,DC16-1336,University of Washington,YDAD Youth Development,01/01/2016,04/30/2017,$31585.00,"2815 Eastlake Ave E, Suite 200, Seattle, WA 98102",Primary site
C1E,Community Crime Prevention,DC16-1612,University of Washington,YDAD Youth Development,06/01/2016,01/31/2017,$34452.00,"2815 Eastlake Ave E, Suite 200, Seattle, WA 98102",Primary site
A2C,Permanent Supportive Housing,DA16-1495,Transitional Resources,CSD Emergency and Transitional Svcs,08/01/2016,07/31/2017,$34094.00,"2970 SW Avalon Way, Seattle, WA 98126",Service Site
A2C,Permanent Supportive Housing,DA15-1495,Transitional Resources,CSD Emergency and Transitional Svcs,08/01/2015,07/31/2016,$31621.00,"2970 SW Avalon Way, Seattle, WA 98126",Service Site
B3A,Youth Development and Educational Support,DA16-1016,Urban League of Metropolitan Seattle,YDAD Youth Development,01/01/2016,12/31/2016,$70117.50,"3013 S Mt Baker Blvd, Seattle, WA 98144",Service Site
A1A,Housing Stability Services,DA16-1125,InterIm Community Development Association,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$220069.00,"310 Maynard Ave S, Seattle, WA 98104",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1144,InterIm Community Development Association,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$195875.00,"310 Maynard Ave S, Seattle, WA 98104",Various sites (primary site provided)
C3A,Domestic Violence Shelters & Housing,DA16-1339,InterIm Community Development Association,MODVSAP,01/01/2016,12/31/2016,$80542.00,"310 Maynard Ave S, Seattle, WA 98104",Confidential Site (primary site provided if available)
C3A,Domestic Violence Shelters & Housing,DA16-1576,InterIm Community Development Association,MODVSAP,01/01/2016,12/31/2016,$69260.50,"310 Maynard Ave S, Seattle, WA 98104",Confidential Site (primary site provided if available)
D5B,Case Management for Seniors and Adults w/ Disabilities,DA15-1681,Professional Registry of Nursing,ADS Area Agency on Aging,07/01/2015,06/30/2016,$163753.00,"310 N Meridian Suite 210, Puyallup, WA 98371",Various sites (primary site provided)
D5B,Case Management for Seniors and Adults w/ Disabilities,DA16-1681,Professional Registry of Nursing,ADS Area Agency on Aging,07/01/2016,06/30/2017,$163753.00,"310 N Meridian Suite 210, Puyallup, WA 98371",Various sites (primary site provided)
A3B,Senior Congregate Meal Programs,DA16-1459,Korean Women's Association,ADS Area Agency on Aging,01/01/2016,12/31/2016,$41000.00,"31635 23rd Ave S, Federal Way , WA 98003",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-1668,Korean Women's Association,ADS Area Agency on Aging,07/01/2015,06/30/2016,$126364.00,"31635 23rd Ave S, Federal Way , WA 98003",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-1668,Korean Women's Association,ADS Area Agency on Aging,07/01/2015,06/30/2016,$208350.00,"31635 23rd Ave S, Federal Way , WA 98003",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1668,Korean Women's Association,ADS Area Agency on Aging,07/01/2016,06/30/2017,$208660.74,"31635 23rd Ave S, Federal Way , WA 98003",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-1668,Korean Women's Association,ADS Area Agency on Aging,07/01/2016,06/30/2017,$96527.26,"31635 23rd Ave S, Federal Way , WA 98003",Various sites (primary site provided)
A2H,Homeless Employment,DA16-6077,CASA Latina,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$162945.00,"317 17th Ave S, Seattle, WA 98144",Service Site
A1A,Housing Stability Services,DA16-1142,Harborview Medical Center,CSD Emergency and Transitional Svcs,05/16/2016,02/28/2017,$54443.00,"325 9th Ave, Seattle, WA 98104",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1286,Harborview Medical Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$62286.00,"325 9th Ave, Seattle, WA 98104",Various sites (primary site provided)
A1A,Housing Stability Services,DA15-1142,Harborview Medical Center,CSD Emergency and Transitional Svcs,02/01/2015,01/31/2016,$94160.00,"325 9th Ave, Seattle, WA 98104",Various sites (primary site provided)
C1P,Crime Prevention & Firearm Injury Patient Services,DA16-1570,University of Washington,YDAD Youth Development,01/01/2016,12/31/2016,$275000.00,"325 9th Ave, Seattle, WA 98104",Primary site
D5A,Home Care and In Home Services,DA15-1663,"Kemper Services, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$330.00,"326 151st Place SE, Lynnwood, WA 98087",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-1663,"Kemper Services, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$330.00,"326 151st Place SE, Lynnwood, WA 98087",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-1503,"A & B Homecare and Staffing, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$116418.00,"32700 Pacific Hwy S # 14, Federal Way, WA 98003",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-1503,"A & B Homecare and Staffing, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$115996.00,"32700 Pacific Hwy S # 14, Federal Way, WA 98003",Various sites (primary site provided)
NA3E,Food Banks,DA16-1012,West Seattle Food Bank,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$61141.00,"3419 SW Morgan St, Seattle, WA 98126",Service Site
NA3G,Home Food Delivery,DA16-1012,West Seattle Food Bank,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$21307.00,"3419 SW Morgan St, Seattle, WA 98126",Various sites (primary site provided)
ND4B,Senior Centers,DA16-1138,Asian Counseling & Referral Service,ADS Area Agency on Aging,01/01/2016,12/31/2016,$64055.00,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Service Site
B1B,Immigrant and Refugee Youth and Family Support,DA16-1294,Asian Counseling & Referral Service,YDAD Youth Development,09/01/2016,08/31/2017,$100053.00,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
B3C,Youth Mental Health Counseling,DA16-1479,Asian Counseling & Referral Service,YDAD Youth Development,01/01/2016,12/31/2016,$118241.00,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Service Site
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1547,Asian Counseling & Referral Service,ADS Area Agency on Aging,07/01/2016,06/30/2017,$300411.03,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
C1D,Youth Domestic & Sexual Violence Prevention,DA16-1784,Asian Counseling & Referral Service,MODVSAP,01/01/2016,12/31/2016,$228034.00,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Service Site
A3B,Senior Congregate Meal Programs,DA16-2442,Asian Counseling & Referral Service,ADS Area Agency on Aging,01/01/2016,12/31/2016,$195810.48,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
B1B,Immigrant and Refugee Youth and Family Support,DA15-1294,Asian Counseling & Referral Service,YDAD Youth Development,09/01/2015,08/31/2016,$100053.00,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
B1A,Family Resource Center,DA16-3824,Southwest Youth and Family Services,ELFS Family Development,01/01/2016,12/31/2016,$338922.00,"4555 Delridge Way SW, Seattle, WA 98106",Service Site
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1547,Asian Counseling & Referral Service,ADS Area Agency on Aging,07/01/2015,06/30/2016,$290209.89,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
NA3A,Meal Programs,DA16-1526,Asian Counseling & Referral Service,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$63451.00,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
D5B,Case Management for Seniors and Adults w/ Disabilities,DA16-5159,Asian Counseling & Referral Service,ADS Area Agency on Aging,07/01/2016,06/30/2017,$4105281.61,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
C3E,Batterers Treatment,DA16-5920,Asian Counseling & Referral Service,MODVSAP,01/01/2016,12/31/2016,$26121.00,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",Service Site
B3C,Youth Mental Health Counseling,DA16-1656,Southwest Youth and Family Services,YDAD Youth Development,01/01/2016,12/31/2016,$75894.00,"3722 S Hudson St, Seattle, WA 98118",Service Site
B3C,Youth Mental Health Counseling,DA16-1657,Southwest Youth and Family Services,YDAD Youth Development,01/01/2016,12/31/2016,$154081.00,"3722 S Hudson St, Seattle, WA 98118",Service Site
A2A,Emergency Shelters,DA16-1474,Seattle's Union Gospel Mission,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$27950.00,"3800 S Othello St, Seattle, WA 98118",Various sites (primary site provided)
A2J,Homeless Outreach and Case Management,DA16-1641,Seattle's Union Gospel Mission,CSD Emergency and Transitional Svcs,05/01/2016,05/31/2017,$100000.00,"3800 S Othello St, Seattle, WA 98118",Various sites (primary site provided)
C2A,DV & SA Response System Improvement,DA16-1509,Consejo Counseling and Referral Service,MODVSAP,01/01/2016,12/31/2016,$60077.00,"3808 S Angeline St, Seattle, WA 98118",Various sites (primary site provided)
C3B,Domestic Violence Victims Services,DA14-1372,Consejo Counseling and Referral Service,DVO Domestic and Sexual Violence Prevention,01/01/2014,12/31/2016,$80647.00,"3808 S Angeline St, Seattle, WA 98118",Service Site
C3B,Domestic Violence Victims Services,DA16-1418,Consejo Counseling and Referral Service,MODVSAP,01/01/2016,12/31/2016,$11275.00,"3808 S Angeline St, Seattle, WA 98118",Various sites (primary site provided)
C3B,Domestic Violence Victims Services,DA16-3747,Consejo Counseling and Referral Service,MODVSAP,01/01/2016,12/31/2016,$148521.00,"3808 S Angeline St, Seattle, WA 98118",Service Site
B1B,Immigrant and Refugee Youth and Family Support,DA16-1297,Refugee Women's Alliance,YDAD Youth Development,09/01/2016,08/31/2017,$100053.00,"4008 Martin Luther King Jr Way S, Seattle, WA 98108",Various sites (primary site provided)
C2A,DV & SA Response System Improvement,DA16-1335,Refugee Women's Alliance,MODVSAP,01/01/2016,12/31/2017,$241708.00,"4008 Martin Luther King Jr Way S, Seattle, WA 98108",Confidential Site (primary site provided if available)
A3B,Senior Congregate Meal Programs,DA14-1107,Refugee Women's Alliance,ADS Area Agency on Aging,01/01/2014,03/31/2016,$213034.50,"4008 Martin Luther King Jr Way S, Seattle, WA 98108",Various sites (primary site provided)
D2A,Health Promotion and Wellness,DA14-1107,Refugee Women's Alliance,ADS Area Agency on Aging,01/01/2014,03/31/2016,$5376.00,"4008 Martin Luther King Jr Way S, Seattle, WA 98108",Various sites (primary site provided)
B1B,Immigrant and Refugee Youth and Family Support,DA15-1297,Refugee Women's Alliance,YDAD Youth Development,09/01/2015,08/31/2016,$100053.00,"4008 Martin Luther King Jr Way S, Seattle, WA 98108",Service Site
NC3C,Sexual Assault Victim Services,DA16-1027,Refugee Women's Alliance,MODVSAP,01/01/2016,12/31/2016,$47341.00,"4008 Martin Luther King Jr Way S, Seattle, WA 98108",Confidential Site (primary site provided if available)
A1A,Housing Stability Services,DA16-1404,Refugee Women's Alliance,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$203048.00,"4008 Martin Luther King Jr Way S, Seattle, WA 98108",Various sites (primary site provided)
C3B,Domestic Violence Victims Services,DA16-1413,Refugee Women's Alliance,MODVSAP,01/01/2016,12/31/2016,$25750.00,"4008 Martin Luther King Jr Way S, Seattle, WA 98108",Confidential Site (primary site provided if available)
C3B,Domestic Violence Victims Services,DA16-3746,Refugee Women's Alliance,MODVSAP,01/01/2016,12/31/2016,$236982.00,"4008 Martin Luther King Jr Way S, Seattle, WA 98108",Confidential Site (primary site provided if available)
C3B,Domestic Violence Victims Services,DA16-1557,Northwest Justice Project,MODVSAP,01/01/2016,12/31/2016,$391843.00,"401 2nd Ave S #407, Seattle, WA 98104",Service Site
D1A,Access to Drug & Alcohol Treatment,DA16-1087,King County Department of Community and Human Services,ADS Area Agency on Aging,01/01/2016,12/31/2016,$36050.00,"401 5th Ave #500, Seattle, WA 98104",Various sites (primary site provided)
D1A,Access to Drug & Alcohol Treatment,DA16-1485,King County Department of Community and Human Services,Public Health,01/01/2016,12/31/2016,$993460.00,"401 5th Ave #500, Seattle, WA 98104",Various sites (primary site provided)
Z1A,General Administration,DA16-1624,King County Department of Community and Human Services,CSD Emergency and Transitional Svcs,01/01/2016,04/30/2016,$135857.00,"401 5th Ave #500, Seattle, WA 98104",Primary site
C1F,Crime Prevention & Re-Entry Services,DM15-5269,King County Department of Community and Human Services,YDAD Youth Development,01/01/2015,12/31/2016,$862099.00,"401 5th Ave #500, Seattle, WA 98104",Various sites (primary site provided)
A2A,Emergency Shelters,DM16-5205,King County Department of Community and Human Services,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$616741.00,"401 5th Ave #500, Seattle, WA 98104",Various sites (primary site provided)
A2A,Emergency Shelters,DM16-5212,King County Department of Community and Human Services,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$53468.00,"401 5th Ave #500, Seattle, WA 98104",Various sites (primary site provided)
A1A,Housing Stability Services,DU16-5209,King County Department of Community and Human Services,HSI-Contracts,08/01/2016,07/31/2017,$1.00,"401 5th Ave #500, Seattle, WA 98104",Primary site
A2J,Homeless Outreach and Case Management,DA16-1440,King County,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$143106.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
D1A,Access to Drug & Alcohol Treatment,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$564948.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
E2A,Access to Services,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$259636.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
C1E,Community Crime Prevention,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$50000.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
Z1C,Evaluation,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$63149.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
D1J,Family Planning Health Education for Youth & Young Adults,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$50000.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
Z1A,General Administration,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$45658.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
D1D,Health Care Access & Outreach,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$120427.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
D1E,Health Care for the Homeless,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$2226957.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
D1F,HIV/AIDS,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$931777.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
D1G,Oral Health,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$134365.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
D1H,Primary Care: Medical & Dental,DA16-1462,Public Health-Seattle & King County,Public Health,01/01/2016,12/31/2016,$7166913.00,"401 5th Ave, Seattle, WA 98104",Various sites (primary site provided)
D2B,Mental Health,DA16-1329,Harborview Medical Center,ADS Area Agency on Aging,01/01/2016,12/31/2016,$10150.00,"401 Broadway,  1st Floor, Seattle, WA 98104",Service Site
NC3C,Sexual Assault Victim Services,DA16-1053,Harborview Medical Center,MODVSAP,01/01/2016,12/31/2016,$308885.00,"401 Broadway, Seattle, WA 98104",Service Site
ND5F,Family Caregiver Support Program,DA15-7316,Chinese Information and Service Center,ADS Area Agency on Aging,07/01/2015,06/30/2016,$211667.00,"409 Maynard Ave S 203, Seattle, WA 98104",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA16-7316,Chinese Information and Service Center,ADS Area Agency on Aging,07/01/2016,06/30/2017,$211667.00,"409 Maynard Ave S 203, Seattle, WA 98104",Various sites (primary site provided)
A3B,Senior Congregate Meal Programs,DA16-1718,Mount SI Senior Center,ADS Area Agency on Aging,01/01/2016,12/31/2016,$48619.20,"411 Main Ave S, North Bend, WA 98045",Service Site
D5A,Home Care and In Home Services,DA15-1661,"Special Care Agency, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$69464.00,"4121 McKinley Ave, Carnation, WA 98014",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1661,"Special Care Agency, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$4000.00,"4121 McKinley Ave, Carnation, WA 98014",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-1661,"Special Care Agency, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$77454.00,"4121 McKinley Ave, Carnation, WA 98014",Various sites (primary site provided)
A3D,Child Care Nutrition,DA16-1141,Northwest Agriculture Business Center,ELFS Child Development,01/01/2016,12/31/2016,$9979.00,"419 S 1st St #200, Mt Vernon, WA 98273",Primary site
A3D,Child Care Nutrition,DA16-1635,Northwest Agriculture Business Center,ELFS Family Development,04/01/2016,09/29/2016,$8900.00,"419 S 1st St #200, Mt Vernon, WA 98273",Primary site
